"","individualID","uid.x","namedLocation.x","date.x","eventID.x","domainID.x","siteID.x","plotID.x","subplotID.x","tempStemID","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","dendrometerInstallationDate","initialGapMeasurementDate","initialBandStemDiameter","initialDendrometerGap","dendrometerHeight","dendrometerGap","dendrometerCondition","bandStemDiameter","remarks.x","recordedBy.x","measuredBy.x","dataQF.x","uid.y","namedLocation.y","date.y","eventID.y","domainID.y","siteID.y","plotID.y","subplotID.y","nestedSubplotID","pointID","stemDistance","stemAzimuth","recordType","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion","taxonID","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks.y","measuredBy.y","recordedBy.y","dataQF.y"
"11","NEON.PLA.D01.HARV.00018","07f11f57-3ce4-4702-95c1-e4f5f889474b","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","multi-bole tree","Live","43.6","130",NA,"26.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"6d0d5cbb-55d0-45cb-8a78-2f502b429d3b","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4","41","3.1","226.2",NA,NA,NA,"NEON.DOC.000987vC","PRSES","Prunus serotina Ehrh. var. serotina","variety",NA,NA,NA,NA,NA,"dcrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"12","NEON.PLA.D01.HARV.00018A","4dbe88b3-dff2-4008-881f-fc91ac8e1569","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","multi-bole tree","Standing dead","20.4","130",NA,"26.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cause of death from possible unknown insect damage. Secondary of 2 boles.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"f1cf81e2-7575-427c-a48e-4c517f831841","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4","41","3.1","226.2",NA,NA,NA,"NEON.DOC.000987vC","PRSES","Prunus serotina Ehrh. var. serotina","variety",NA,NA,NA,NA,NA,"dcrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"13","NEON.PLA.D01.HARV.00018A","b43cad01-7ee4-4d05-bf31-5d55db9efd19","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","multi-bole tree","Standing dead","20.4","130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"f1cf81e2-7575-427c-a48e-4c517f831841","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4","41","3.1","226.2",NA,NA,NA,"NEON.DOC.000987vC","PRSES","Prunus serotina Ehrh. var. serotina","variety",NA,NA,NA,NA,NA,"dcrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"14","NEON.PLA.D01.HARV.00020","e2d9ebd9-a6a4-4bbc-9f71-a5eb233ad96a","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live","32.5","130",NA,"22.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-9299-545X","0000-0001-6093-9384",NA,"60b0c48d-395b-4b3d-83a4-04bcbc1e8d64","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"21","19.7","45.4",NA,NA,NA,"NEON.DOC.000987vC","PRSES","Prunus serotina Ehrh. var. serotina","variety",NA,NA,NA,NA,NA,"DCrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"15","NEON.PLA.D01.HARV.00020","f2ebefbf-f4f0-4ed3-b220-00f6271d7623","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live","31.9","130",NA,"24.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"60b0c48d-395b-4b3d-83a4-04bcbc1e8d64","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"21","19.7","45.4",NA,NA,NA,"NEON.DOC.000987vC","PRSES","Prunus serotina Ehrh. var. serotina","variety",NA,NA,NA,NA,NA,"DCrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"16","NEON.PLA.D01.HARV.00021","9075a497-3a9a-4869-82a2-fb979ecd1d30","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","multi-bole tree","Live, insect damaged","19.7","190",NA,"17.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Possible Gypsy moth damage. DBH measured 100 cm above the pith interection. Primary of 2 boles.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"c8fd9552-36e9-423a-abb6-79857d213616","HARV_036.basePlot.vst","2020-08-31","vst_HARV_2020","D01","HARV","HARV_036","21",NA,"23","10.1","340.3","map and tag",NA,NA,"NEON.DOC.000987vJ","ACRU","Acer rubrum L.","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",NA,NA,NA,NA,"0000-0002-3867-8015","0000-0003-4647-8125",NA
"17","NEON.PLA.D01.HARV.00021A","fcf62b00-2d4d-4738-aee3-8062c0f1c95a","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","multi-bole tree","Dead, broken bole","20.1","190",NA,NA,NA,"3.6","18.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"25a492cb-b5e1-4844-9326-8813bc95d7d2","HARV_036.basePlot.vst","2016-10-10","vst_HARV_2016","D01","HARV","HARV_036","21",NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","ACRU","Acer rubrum L.","species",NA,NA,NA,NA,NA,"mday@field-ops.org","jwebber@field-ops.org",NA
"18","NEON.PLA.D01.HARV.00021A","96fc594c-14e5-4a10-ba11-a799f7467121","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","multi-bole tree","Dead, broken bole","19.9","190",NA,"17.8",NA,"3.5","19.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Death possibly cause by gypsy moth damage. Unknown cause of break. Secondary of 2 boles.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"25a492cb-b5e1-4844-9326-8813bc95d7d2","HARV_036.basePlot.vst","2016-10-10","vst_HARV_2016","D01","HARV","HARV_036","21",NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vE","ACRU","Acer rubrum L.","species",NA,NA,NA,NA,NA,"mday@field-ops.org","jwebber@field-ops.org",NA
"19","NEON.PLA.D01.HARV.00027","4011bc9a-a5ac-4d67-a48b-c66d2e9be25b","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live","13.9","130",NA,"14.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-9299-545X","0000-0001-6093-9384",NA,"dcbec387-aa5b-431c-bd6f-3c70c589310b","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"21","21.6","26.9",NA,NA,NA,"NEON.DOC.000987vC","ACSAS","Acer saccharum Marshall var. saccharum","variety",NA,NA,NA,NA,NA,"llukas@battelleecology.org","gvanscoy@field-ops.org",NA
"20","NEON.PLA.D01.HARV.00027","1d1551f9-9435-4302-a374-4c08ebbe0527","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live","13.8","130",NA,"15.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"dcbec387-aa5b-431c-bd6f-3c70c589310b","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"21","21.6","26.9",NA,NA,NA,"NEON.DOC.000987vC","ACSAS","Acer saccharum Marshall var. saccharum","variety",NA,NA,NA,NA,NA,"llukas@battelleecology.org","gvanscoy@field-ops.org",NA
"21","NEON.PLA.D01.HARV.00042","c53f0b2b-1adc-492a-b2e3-7fb647b19afc","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live","35.0","130",NA,"20.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"494caae4-54c6-4d47-a517-a20ee9db137e","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"21","16.9","18.5",NA,NA,NA,"NEON.DOC.000987vC","FRAM2","Fraxinus americana L.","species",NA,NA,NA,"cf. family",NA,"David Crandall",NA,NA
"22","NEON.PLA.D01.HARV.00042","a4093cde-9667-4a89-9c62-1c41ae1a3dd4","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live","35.3","130",NA,"19.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-9299-545X","0000-0001-6093-9384",NA,"494caae4-54c6-4d47-a517-a20ee9db137e","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"21","16.9","18.5",NA,NA,NA,"NEON.DOC.000987vC","FRAM2","Fraxinus americana L.","species",NA,NA,NA,"cf. family",NA,"David Crandall",NA,NA
"23","NEON.PLA.D01.HARV.00046","ce1b9026-e334-45f9-8378-8290f0591503","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live, insect damaged","23.6","130",NA,"5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hemlock woolly adelgid crown missing","rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"5c2f3e85-205b-4035-8bcc-a63d4c602417","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"21","17.2","38.4",NA,NA,NA,"NEON.DOC.000987vC","TSCA","Tsuga canadensis (L.) Carrière","species",NA,NA,NA,NA,NA,"David Crandall",NA,NA
"24","NEON.PLA.D01.HARV.00046","471a8ddf-2cc1-43cb-8a33-d22092313c93","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live, broken bole","24.5","130",NA,"4.9",NA,"4.7","8.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown cause of break.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"5c2f3e85-205b-4035-8bcc-a63d4c602417","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"21","17.2","38.4",NA,NA,NA,"NEON.DOC.000987vC","TSCA","Tsuga canadensis (L.) Carrière","species",NA,NA,NA,NA,NA,"David Crandall",NA,NA
"25","NEON.PLA.D01.HARV.00048","1bbc4727-f56e-4a1a-a3fc-fe993270fb9d","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live","38.0","130",NA,"19.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-9299-545X","0000-0001-6093-9384",NA,"0ee21985-8898-4a15-a8d1-dc9ebcb2b76d","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"39","9.2","157.4",NA,NA,NA,"NEON.DOC.000987vC","FRAM2","Fraxinus americana L.","species",NA,NA,NA,NA,NA,"Skyler Hackley",NA,NA
"26","NEON.PLA.D01.HARV.00048","59cf9f17-f67a-4511-ac20-dabe1dbbabe9","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live","37.4","130",NA,"21.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"0ee21985-8898-4a15-a8d1-dc9ebcb2b76d","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"39","9.2","157.4",NA,NA,NA,"NEON.DOC.000987vC","FRAM2","Fraxinus americana L.","species",NA,NA,NA,NA,NA,"Skyler Hackley",NA,NA
"27","NEON.PLA.D01.HARV.00059","8a5d1783-bec6-4296-8edb-72573b0aa620","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok",NA,"Lost, fate unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tag not found. Lost presumed dead.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"3c392b3d-0b93-4c21-aac4-a6b7d352c741","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"21","19.0","10.9",NA,NA,NA,"NEON.DOC.000987vC","PIST","Pinus strobus L.","species",NA,NA,NA,NA,NA,"David Crandall",NA,NA
"28","NEON.PLA.D01.HARV.00059","da357238-3836-44a9-b617-eca46d61ccd7","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok",NA,"No longer qualifies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not round measurable","rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"3c392b3d-0b93-4c21-aac4-a6b7d352c741","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"21","19.0","10.9",NA,NA,NA,"NEON.DOC.000987vC","PIST","Pinus strobus L.","species",NA,NA,NA,NA,NA,"David Crandall",NA,NA
"29","NEON.PLA.D01.HARV.00060","3b3ef3d5-fbee-4b8e-bf01-c628dae02f05","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live","30.7","130",NA,"20.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"ca5150d5-d01d-4966-9935-bbf8b987ce57","HARV_036.basePlot.vst","2014-01-22","vst_HARV_2013","D01","HARV","HARV_036","23",NA,"23","4.2","346.0",NA,NA,NA,"NEON.DOC.000987vC","BELE","Betula lenta L.","species",NA,NA,NA,NA,NA,"gvanscoy@field-ops.org","llukas@battelleecology.org",NA
"30","NEON.PLA.D01.HARV.00060","76e20798-c09c-457c-80b4-40e735af851c","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live, physically damaged","30.2","130",NA,"22.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scarring on bole; unknown cause. Measurement height has changed in previous years.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"ca5150d5-d01d-4966-9935-bbf8b987ce57","HARV_036.basePlot.vst","2014-01-22","vst_HARV_2013","D01","HARV","HARV_036","23",NA,"23","4.2","346.0",NA,NA,NA,"NEON.DOC.000987vC","BELE","Betula lenta L.","species",NA,NA,NA,NA,NA,"gvanscoy@field-ops.org","llukas@battelleecology.org",NA
"31","NEON.PLA.D01.HARV.00061","4b2d1ab6-31c4-452e-8a6f-097a9000d9ce","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live","40.9","130",NA,"24.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"b4881bae-6e28-47f5-bc51-fbbaff8e81b2","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"23","2.3","307.7",NA,NA,NA,"NEON.DOC.000987vC","QURU","Quercus rubra L.","species",NA,NA,NA,NA,NA,"David Crandall",NA,NA
"32","NEON.PLA.D01.HARV.00061","eb4d234a-49a3-4aa7-8e52-a9960c89e3d4","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","single bole tree","Live, insect damaged","41.6","130",NA,"22.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable gypsy moth damage.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"b4881bae-6e28-47f5-bc51-fbbaff8e81b2","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"23","2.3","307.7",NA,NA,NA,"NEON.DOC.000987vC","QURU","Quercus rubra L.","species",NA,NA,NA,NA,NA,"David Crandall",NA,NA
